,Hidden_Unit_1,Hidden_Unit_2,Hidden_Unit_3,Hidden_Unit_4,Hidden_Unit_5,Hidden_Unit_6
Vegetarian=1,0.5217844,0.32821372,0.21926738,0.32392696,0.5929279,0.29466346
Vegetarian=0,0.5559329,0.21026021,0.3720414,0.2573042,0.19110064,0.5727378
Spicy=1,0.29869798,0.029631821,0.6608767,0.044213876,0.13931085,0.8337284
Spicy=0,0.6613923,0.39404216,0.10587197,0.41804197,0.52830476,0.22397089
Sweet=1,0.9343196,0.6482674,0.028895471,0.6855852,0.58125067,0.11756849
Sweet=0,0.3147433,0.05705381,0.44377425,0.06853047,0.29204285,0.60754794
Healthy=1,0.32796457,0.18616676,0.25761244,0.17140535,0.5454831,0.33281985
Healthy=0,0.6411268,0.3116919,0.31167862,0.34984404,0.32382408,0.47829416
